Animal No	Parents	DOB	Location	Cage No	Animal No in Cage	Sex	Purpose	Surgery date	Injection	Comments	Pain model	Sac date	Section date	Mounted	Cryoprotect	Is Archived
73	WTL171		5558C	30	1	M	Self-Stim	1/21/20	AAV-CAMKII-CHR2-eYFP		CFA		11/25/20			Y
74	WTL171		5558C	30	2	M	Self-Stim	1/21/20	AAV-CAMKII-CHR2-eYFP		Saline		11/25/20			Y
75	WTL171		5558C	30	3	M	Self-Stim	1/21/20	AAV-CAMKII-CHR2-eYFP		CFA		11/25/20			Y
																
76	WTL171		5558C	31	1	M	Self-Stim	1/21/20	AAV-CAMKII-eYFP		CFA		10/27/20	Y	Y	Y
77	WTL171		5558C	31	2	M	Self-Stim	1/21/20	AAV-CAMKII-eYFP		CFA		10/27/20	Y	Y	Y
																
78	WTL169		5558C	32	1	F	Tracing from NAc (Ant)	1/24/20	Cholera-toxin subunit B	Unable to see the CTB. Could be a dilution issue.		2/17/20	3/10/20	Y	Y	Y
79	WTL169		5558C	32	2	F	Tracing from NAc (Ant)	1/24/20	Cholera-toxin subunit B	Unable to see the CTB. Could be a dilution issue.		2/17/20	3/10/20	Y	Y	Y
80	WTL169		5558C	32	3	F	Tracing from NAc (Ant)	1/24/20	Cholera-toxin subunit B	Unable to see the CTB. Could be a dilution issue.		2/17/20	3/10/20	Y	Y	Y
81	WTL169		5558C	32	4	F	Tracing from NAc (Ant)	1/24/20	Cholera-toxin subunit B	Unable to see the CTB. Could be a dilution issue.		2/17/20	3/10/20	Y	Y	Y
82	WTL169		5558C	32	5	F	Tracing from NAc (Ant)	1/24/20	Cholera-toxin subunit B	Unable to see the CTB. Could be a dilution issue.		2/17/20	3/10/20	Y	Y	Y
																
83	WTL150		5558C	33	1	F	Tracing from NAc (post)	1/24/20	Cholera-toxin subunit B for Niko and Kiki	Unable to see the CTB. Could be a dilution issue.		2/17/20	3/10/20	Y	Y	Y
84	WTL150		5558C	33	2	F	Tracing from NAc (post)	1/24/20	Cholera-toxin subunit B for Niko and Kiki	Unable to see the CTB. Could be a dilution issue.		2/17/20	3/10/20	Y	Y	Y
85	WTL150		5558C	33	3	F	Tracing from NAc (post)	1/24/20	Cholera-toxin subunit B for Niko and Kiki	Unable to see the CTB. Could be a dilution issue.		2/17/20	3/10/20	Y	Y	Y
86	WTL150		5558C	33	4	F	Tracing from NAc (post)	1/24/20	Cholera-toxin subunit B for Niko and Kiki	Unable to see the CTB. Could be a dilution issue.		2/17/20	3/10/20	Y	Y	Y
87	WTL150		5558C	33	5	F	Tracing from NAc (post)	1/24/20	Cholera-toxin subunit B for Niko and Kiki	Unable to see the CTB. Could be a dilution issue.		2/17/20	3/10/20	Y	Y	Y
																
88	WTL194	1/11/20	4440A	34	1	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		Saline			Y	Y	Y
89	WTL194	1/11/20	4440A	34	2	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		Saline			Y	Y	Y
90	WTL194	1/11/20	4440A	34	3	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		CFA			Y	Y	Y
91	WTL194	1/11/20	4440A	34	4	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		CFA			Y	Y	Y
																
92	WTL194	1/11/20	4440A	35	1	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		CFA			Y	Y	Y
93	WTL194	1/11/20	4440A	35	2	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		Saline		10/15/20	Y*Not Gd		Y
																
94	WTL196	1/15/20	4440A	36	1	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		Saline		10/15/20	Y*Not Gd	Y	Y
95	WTL196	1/15/20	4440A	36	2	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		Saline		10/15/20	Y	Y	Y
96	WTL196	1/15/20	4440A	36	3	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		CFA		10/20/20	Y	Y	Y
																
97	WTL198	1/12/20	4440A	37	1	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		Saline		10/20/20	Y	Y	Y
98	WTL198	1/12/20	4440A	37	2	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		CFA		10/20/20	Y	Y	Y
99	WTL198	1/12/20	4440A	37	3	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		CFA		10/27/20	Y	Y	Y
100	WTL198	1/12/20	4440A	37	4	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF	FDIC	-	-	-			Y
101	WTL198	1/12/20	4440A	37	5	M	Self-Stim	3/16/20	AAV-CAMKII-ChR2-eYPF		CFA		10/27/20	Y	Y	Y
																
102	WTL197	1/16/20	4440A	38	1	M	"Stimulation in dHPC, FP in Nac"	3/16/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	recorded SS + FP	-	10/16/20		Y	Y	Y
103	WTL197	1/16/20	4440A	38	2	M	"Stimulation in dHPC, FP in Nac"	3/16/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	recorded SS + FP	-	10/16/20		Y	Y	Y
104	WTL197	1/16/20	4440A	38	3	M	"Stimulation in dHPC, FP in Nac"	3/16/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	Did not have response on on FP	-	8/20/20				Y
																
105			5558C	NIL	1		Lei-Dab7 dose test		Cannula implants in dHPC	Did dose test twice on 8June2020 and 9June2020		6/9/20	AZ	"Tissue was sticking, unable to mount"	-	Y
106			5558C	NIL	2		Lei-Dab7 dose test		Cannula implants in dHPC	Did dose test twice on 8June2020 and 9June2021		6/9/20	AZ	"Tissue was sticking, unable to mount"	-	Y
107			5558C	NIL	3		Lei-Dab7 dose test		Cannula implants in dHPC	Did dose test twice on 8June2020 and 9June2022		6/9/20	AZ	"Tissue was sticking, unable to mount"	-	Y
108			5558C	NIL	4		Lei-Dab7 dose test		Cannula implants in dHPC	Did dose test twice on 8June2020 and 9June2023		6/9/20	AZ	"Tissue was sticking, unable to mount"	-	Y
109			5558C	NIL	5		Lei-Dab7 dose test		Cannula implants in dHPC	Did dose test twice on 8June2020 and 9June2024		6/9/20	AZ	"Tissue was sticking, unable to mount"	-	Y
110			5558C	NIL	6		Lei-Dab7 dose test		Cannula implants in dHPC	Did dose test twice on 8June2020 and 9June2025		6/9/20	AZ	"Tissue was sticking, unable to mount"	-	Y
111			5558C	NIL	7		Lei-Dab7 dose test		Cannula implants in dHPC	Did dose test twice on 8June2020 and 9June2026		6/9/20	AZ	"Tissue was sticking, unable to mount"	-	Y
112			5558C	NIL	8		Lei-Dab7 dose test		Cannula implants in dHPC	Did dose test twice on 8June2020 and 9June2027		6/9/20	AZ	"Tissue was sticking, unable to mount"	-	Y
113			5558C	NIL	9		Lei-Dab7 dose test		Cannula implants in dHPC	Did dose test twice on 8June2020 and 9June2028		6/9/20	AZ	"Tissue was sticking, unable to mount"	-	Y
114			5558C	NIL	10		Lei-Dab7 dose test		Cannula implants in dHPC	Did dose test twice on 8June2020 and 9June2029		6/9/20	AZ	"Tissue was sticking, unable to mount"	-	Y
																
115	WTL251 &253		5558C	39	1	F	"Stimulation in dHPC, FP in Nac"	6/15/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	Recorded SS + FP		10/16/20	10/27/20	Y	Y	Y
116	WTL251 &254		5558C	39	2	F	"Stimulation in dHPC, FP in Nac"	6/15/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	FDIC after self stim due to stress		8/14/20	10/27/20	Y	Y	Y
117	WTL251 &255		5558C	39	3	F	"Stimulation in dHPC, FP in Nac"	6/15/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	"Overly anxious, Sac"	-	7/30/20	-	-	-	Y
118	WTL251 &256		5558C	39	4	F	"Stimulation in dHPC, FP in Nac"	6/15/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	Recorded SS + FP		10/16/20		Y	Y	Y
119	WTL251 &257		5558C	39	5	F	"Stimulation in dHPC, FP in Nac"	6/15/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	FDIC	-	-	-	-	-	Y
																
120	WTL253 & 254		5558C	40	1	M	"Stimulation in dHPC, FP in Nac"	6/15/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"					Y	Y	Y
121	WTL253 & 254		5558C	40	2	M	"Stimulation in dHPC, FP in Nac"	6/15/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	FDIC		-	-	-	-	Y
122	WTL253 & 254		5558C	40	3	M	"Stimulation in dHPC, FP in Nac"	6/15/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"					Y	Y	Y
123	WTL253 & 254		5558C	40	4	M	"Stimulation in dHPC, FP in Nac"	6/15/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	Recorded SS + FP		10/16/20		Y	Y	Y
124	WTL253 & 254		5558C	40	5	M	"Stimulation in dHPC, FP in Nac"	6/15/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"					Y	Y	Y
																
125	"WTL255,256,257 & 258"		5558C	NIL	21	M	Lei-Dab7 CPP	7/6/20	Cannula Implants			7/24/20	7/27/20	Y	Y	Y
126	"WTL255,256,257 & 258"		5558C	NIL	22	M	Lei-Dab7 CPP	7/6/20	Cannula Implants					Y	Y	Y
127	"WTL255,256,257 & 258"		5558C	NIL	23	M	Lei-Dab7 CPP	7/6/20	Cannula Implants					Y	Y	Y
128	"WTL255,256,257 & 258"		5558C	NIL	24	M	Lei-Dab7 CPP	7/6/20	Cannula Implants					Y	Y	Y
129	"WTL255,256,257 & 258"		5558C	NIL	25	M	Lei-Dab7 CPP	7/6/20	Cannula Implants					Y	Y	Y
130	"WTL255,256,257 & 258"		5558C	NIL	26	M	Lei-Dab7 CPP	7/6/20	Cannula Implants					Y	Y	Y
131	"WTL255,256,257 & 258"		5558C	NIL	27	M	Lei-Dab7 CPP	7/6/20	Cannula Implants					Y	Y	Y
132	"WTL255,256,257 & 258"		5558C	NIL	28	M	Lei-Dab7 CPP	7/6/20	Cannula Implants					Y	Y	Y
133	"WTL255,256,257 & 258"		5558C	NIL	29	M	Lei-Dab7 CPP	7/6/20	Cannula Implants	FDIC		-	-	-	-	Y
134	"WTL255,256,257 & 258"		5558C	NIL	30	M	Lei-Dab7 CPP	7/6/20	Cannula Implants			7/24/20	7/27/20	Y	Y	Y
135	"WTL255,256,257 & 258"		5558C	NIL	31	M	Lei-Dab7 CPP	7/6/20	Cannula Implants					Y	Y	Y
136	"WTL255,256,257 & 258"		5558C	NIL	32	M	Lei-Dab7 CPP	7/6/20	Cannula Implants					Y	Y	Y
137	"WTL255,256,257 & 258"		5558C	NIL	33	M	Lei-Dab7 CPP	7/6/20	Cannula Implants	FDIC		-	-	-	-	Y
138	"WTL255,256,257 & 258"		5558C	NIL	34	M	Lei-Dab7 CPP	7/6/20	Cannula Implants			7/24/20	7/27/20	Y	Y	Y
139	"WTL255,256,257 & 258"		5558C	NIL	35	M	Lei-Dab7 CPP	7/6/20	Cannula Implants	FDIC		-	-	-	-	Y
140	"WTL255,256,257 & 258"		5558C	NIL	36	M	Lei-Dab7 CPP	7/6/20	Cannula Implants			7/24/20	7/27/20	Y	Y	Y
																
141	JAX		5558C	NIL	37	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/4/20	Y	Y	Y
142	JAX		5558C	NIL	38	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/4/20	Y	Y	Y
143	JAX		5558C	NIL	39	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/4/20	Y	Y	Y
144	JAX		5558C	NIL	40	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/4/20	Y	Y	Y
145	JAX		5558C	NIL	41	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/4/20	Y	Y	Y
146	JAX		5558C	NIL	42	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/4/20	Y	Y	Y
147	JAX		5558C	NIL	43	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/4/20	Y	Y	Y
148	JAX		5558C	NIL	45	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/4/20	Y	Y	Y
149	JAX		5558C	NIL	46	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/4/20	Y	Y	Y
150	JAX		5558C	NIL	47	M	Lei-Dab7 CPP		Cannula Implants	FDIC	-	-	-	-	-	Y
151	JAX		5558C	NIL	48	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/7/20	Y	Y	Y
152	JAX		5558C	NIL	48	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/7/20	Y	Y	Y
153	JAX		5558C	NIL	49	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/7/20	Y	Y	Y
154	JAX		5558C	NIL	50	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/7/20	Y	Y	Y
155	JAX		5558C	NIL	51	M	Lei-Dab7 CPP		Cannula Implants			8/20/20	9/7/20	Y	Y	Y
156	JAX		5558C	NIL	52	M	Lei-Dab7 CPP		Cannula Implants	FDIC	-	-	-	-	-	Y
																
157	JAX		5558C	NIL	53	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-	Y
158	JAX		5558C	NIL	54	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			9/18/20		Y	Y	Y
159	JAX		5558C	NIL	55	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			9/18/20		Y	Y	Y
160	JAX		5558C	NIL	56	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-	Y
161	JAX		5558C	NIL	57	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-	Y
162	JAX		5558C	NIL	58	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-	Y
163	JAX		5558C	NIL	59	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			9/18/20		Y	Y	Y
164	JAX		5558C	NIL	60	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-	Y
165	JAX		5558C	NIL	61	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			9/18/20		Y	Y	Y
166	JAX		5558C	NIL	62	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			9/18/20		Y	Y	Y
167	JAX		5558C	NIL	63	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			9/18/20		Y	Y	Y
168	JAX		5558C	NIL	64	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			9/18/20		Y	Y	Y
169	JAX		5558C	NIL	65	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-	Y
170	JAX		5558C	NIL	66	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-	Y
171	JAX		5558C	NIL	67	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			9/18/20		Y	Y	Y
172	JAX		5558C	NIL	68	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			9/18/20		Y	Y	Y
																
173	JAX		5558C	41	1	M	"Stimulation in dHPC, FP in Nac"	8/31/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	FDIC	-	-	-	-	-	Y
174	JAX		5558C	41	2	M	"Stimulation in dHPC, FP in Nac"	8/31/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"			12/4/20	12/21/20	Y		Y
175	JAX		5558C	41	3	M	"Stimulation in dHPC, FP in Nac"	8/31/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	FDIC	-	-	-	-	-	Y
176	JAX		5558C	41	4	M	"Stimulation in dHPC, FP in Nac"	8/31/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	FDIC	-	-	-	-	-	Y
177	JAX		5558C	41	5	M	"Stimulation in dHPC, FP in Nac"	8/31/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	FDIC	-	-	-	-	-	Y
178	WTL273		5558C	41	6	M	"Stimulation in dHPC, FP in Nac"	8/31/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"	FDIC	-	-	-	-	-	Y
																
179	JAX		5558C	42	1	M	"Stimulation in dHPC, FP in Nac (CONTROL)"	8/31/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-eGFP in Nac"	FDIC	-	-	-	-	-	Y
