Animal No,Parents,DOB,Location,Cage No,Animal No,Sex,Purpose,Surgery date,Injection,Comments,,,Pain model,Sac date,Section date,Mounted,Cryoprotect
17,,,,,2,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
18,WTL86,6/17/19,B408,14,1,M,Fiber Photometry,9/6/19,AAV9-CAMKII-GCAMP6f,,,,CFA,12/19/19,,,
19,,,,,2,M,,,,,,,CFA,,,,
20,,,,15,3,M,Self-Stim,9/13/19,AAV5-CAMKII-ChR2-YFP,FDIC,,,,10/7/19,,,
21,,,,,4,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
22,WTL89,6/20/19,4440A,16,1,M,Self-Stim,9/13/19,AAV5-CAMKII-ChR2-YFP,,,,,12/19/19,,,
23,,,,,2,M,,,,FDIC,,,,10/7/19,,,
24,,,,,3,M,,,,,,,,12/19/19,,,
,,,,,,,,,,,,,,,,,
23,W103,7/24/19,5558C,18,1,M,Self-Stim,10/4/19,AAV5-CAMKII-ChR2-YFP,FDIC,,,,10/7/19,,,
24,,,,,2,M,,,,,,,,2/17/20,,,
25,,,,,3,M,,,,,,,,2/17/20,,,
,,,,,,,,,,,,,,,,,
26,WT104,8/5/19,5558C,17,1,M,Self-Stim,9/30/19,AAV5-CAMKII-ChR2-YFP,FDIC post-viral injection,,,,10/2/19,,,
28,,,,,2,M,,,,,,,,,,,
29,,,,,3,M,,,,,,,,,,,
30,,,,,4,M,,,,,,,,2/17/20,,,
31,,,,,5,M,,,,FDIC post-viral injection,,,,10/2/19,,,
32,,,,,6,M,,10/4/19,,Hannah's animal,,,,2/17/20,,,
,,,,,,,,,,,,,,,,,
33,WT107,8/9/19,5558C,20,1,M,Fiber Photometry,10/13/19,AAV9-CAMKII-GCAMP6f,,,,CFA,10/15/19,,,
34,,,,,2,M,,,,FDIC post-viral injection,,,,12/19/19,,,
35,,,,21,3,M,Self-Stim,,AAV5-CAMKII-ChR2-YFP,,,,,2/17/20,,,
36,,,,,4,M,,,,,,,,2/17/20,,,
,,,,,,,,,,,,,,,,,
37,WT107,8/22/19,5558C,22,1,F,Self-Stim,10/13/19,AAV5-CAMKII-ChR2-YFP,,,,,2/17/20,,,
38,,,,,2,F,,,,FDIC post-viral injection,,,,10/16/19,,,
39,,,,,3,F,,,,,,,,2/17/20,,,
,,,,,,,,,,,,,,,,,
40,WT114,8/22/19,5558C,23,1,M,Self-Stim,10/13/19,AAV5-CAMKII-ChR2-YFP,,,,,2/17/20,,,
41,,,,,2,M,,,,FDIC post-viral injection,,,,10/16/19,,,
42,,,,,3,M,,,,,,,,2/17/20,,,
43,,,,,4,M,Fiber Photometry,,AAV9-CAMKII-GCAMP6f,,,,Saline,12/19/19,,,
,,,,,,,,,,,,,,,,,
44,WT118,9/3/19,B408,24,1,M,Fiber Photometry,11/4/19,AAV9-CAMKII-GCAMP6f,FDIC post-viral injection,,,,,,,
45,,,,,2,M,,,,,,,CFA,12/19/19,,,
46,,,,,3,M,,,,,,,Saline,,,,
47,,,,,4,M,,,,Sac for extra,,,,,,,
48,,,,,5,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
49,JAX,,5558C,25,1,M,Fiber Photometry,12/16/19,AAV9-CAMKII-GCAMP6f,,,,CFA,3/9/20,,,Y
50,,,,,2,M,,,,,,,CFA,,,,Y
51,,,,,3,M,,,,,,,Saline,,,,Y
52,,,,,4,M,,,,,,,Saline,,,,
,,,,,,,,,,,,,,,,,
53,JAX,,5558C,26,1,M,Fiber Photometry,12/16/19,AAV-CAMKII-GCAMP6f,FDIC post-viral injection,,,,12/17/19,,,
54,,,,,2,M,,,,,,,CFA,3/9/20,,,
55,,,,,1(R),M,,,,,,,Saline,,,,
,,,,,,,,,,,,,,,,,
56,JAX,,5558C,27,1,M,Self Stim,12/16/19,AAV-CAMKII-eYFP,,,,,3/9/20,,,
57,,,,,2,M,,,,,,,,,,,
58,,,,,3,M,,,,,,,,,,,
59,,,,,4,M,,,,,,,,,,,
60,,,,,5,M,,,,FDIC post-viral injection,,,,,,,
61,,,,,6,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
62,JAX,,5558C,28,1,M,Self Stim,12/16/19,AAV-CAMKII-CHR2-eYFP,,,,,3/9/20,,,
63,,,,,2,M,,,,FDIC post-viral injection,,,,,,,
64,,,,,3,M,,,,,,,,,,,
65,,,,,4,M,,,,FDIC post-viral injection,,,,,,,
66,,,,,5,M,,,,FDIC post-viral injection,,,,,,,
67,,,,,6,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
68,JAX,,5558C,29,1,M,Self-Stim,1/21/20,AAV-CAMKII-CHR2-eYFP,,,,Saline,,12/3/20,12/3/20,
69,,,,,2,M,,,,,,,CFA,,12/3/20,12/3/20,
70,,,,,3,M,,,,,,,Saline,,12/3/20,12/3/20,
71,,,,,4,M,,,,,,,CFA,,12/3/20,12/3/20,
72,,,,,5,M,,,,,,,Saline,,,,
,,,,,,,,,,,,,,,,,
73,WTL171,,5558C,30,1,M,Self-Stim,1/21/20,AAV-CAMKII-CHR2-eYFP,,,,CFA,,11/25/20,,
74,,,,,2,M,,,,,,,Saline,,11/25/20,,
75,,,,,3,M,,,,,,,CFA,,11/25/20,,
,,,,,,,,,,,,,,,,,
76,WTL171,,5558C,31,1,M,Self-Stim,1/21/20,AAV-CAMKII-eYFP,,,,CFA,,10/27/20,Y,Y
77,,,,,2,M,,,,,,,CFA,,10/27/20,Y,Y
,,,,,,,,,,,,,,,,,
78,WTL169,,5558C,32,1,F,Tracing from NAc (Ant),1/24/20,Cholera-toxin subunit B,Unable to see the CTB. Could be a dilution issue.,,,,2/17/20,3/10/20,Y,Y
79,,,,,2,F,,,,,,,,,,Y,Y
80,,,,,3,F,,,,,,,,,,Y,Y
81,,,,,4,F,,,,,,,,,,Y,Y
82,,,,,5,F,,,,,,,,,,Y,Y
,,,,,,,,,,,,,,,,,
83,WTL150,,5558C,33,1,F,Tracing from NAc (post),1/24/20,Cholera-toxin subunit B for Niko and Kiki,Unable to see the CTB. Could be a dilution issue.,,,,2/17/20,3/10/20,Y,Y
84,,,,,2,F,,,,,,,,,,Y,Y
85,,,,,3,F,,,,,,,,,,Y,Y
86,,,,,4,F,,,,,,,,,,Y,Y
87,,,,,5,F,,,,,,,,,,Y,Y
,,,,,,,,,,,,,,,,,
88,WTL194,1/11/20,4440A,34,1,M,Self-Stim,3/16/20,AAV-CAMKII-ChR2-eYPF,,,,Saline,,,Y,Y
89,,,,,2,M,,,,,,,Saline,,,Y,Y
90,,,,,3,M,,,,,,,CFA,,,Y,Y
91,,,,,4,M,,,,,,,CFA,,,Y,Y
,,,,,,,,,,,,,,,,,
92,WTL194,1/11/20,4440A,35,1,M,Self-Stim,3/16/20,AAV-CAMKII-ChR2-eYPF,,,,CFA,,,Y,Y
93,,,,,2,M,,,,,,,Saline,,10/15/20,Y*Not Gd,
,,,,,,,,,,,,,,,,,
94,WTL196,1/15/20,4440A,36,1,M,Self-Stim,3/16/20,AAV-CAMKII-ChR2-eYPF,,,,Saline,,10/15/20,Y*Not Gd,Y
95,,,,,2,M,,,,,,,Saline,,10/15/20,Y,Y
96,,,,,3,M,,,,,,,CFA,,10/20/20,Y,Y
,,,,,,,,,,,,,,,,,
97,WTL198,1/12/20,4440A,37,1,M,Self-Stim,3/16/20,AAV-CAMKII-ChR2-eYPF,,,,Saline,,10/20/20,Y,Y
98,,,,,2,M,,,,,,,CFA,,10/20/20,Y,Y
99,,,,,3,M,,,,,,,CFA,,10/27/20,Y,Y
100,,,,,4,M,,,,FDIC,,,-,-,-,,
101,,,,,5,M,,,,,,,CFA,,10/27/20,Y,Y
,,,,,,,,,,,,,,,,,
102,WTL197,1/16/20,4440A,38,1,M,"Stimulation in dHPC, FP in Nac",3/16/20,"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac",recorded SS + FP,,,-,10/16/20,,Y,Y
103,,,,,2,M,,,,,,,-,10/16/20,,Y,Y
104,,,,,3,M,,,,Did not have response on on FP,,,-,8/20/20,,,
,,,,,,,,,,,,,,,,,
105,,,5558C,NIL,1,,Lei-Dab7 dose test,,Cannula implants in dHPC,Did dose test twice on 8June2020 and 9June2020,,,,6/9/20,AZ,"Tissue was sticking, unable to mount",-
106,,,,,2,,,,,,,,,,,,-
107,,,,,3,,,,,,,,,,,,-
108,,,,,4,,,,,,,,,,,,-
109,,,,,5,,,,,,,,,,,,-
110,,,,,6,,,,,,,,,,,,-
111,,,,,7,,,,,,,,,,,,-
112,,,,,8,,,,,,,,,,,,-
113,,,,,9,,,,,,,,,,,,-
114,,,,,10,,,,,,,,,,,,-
,,,,,,,,,,,,,,,,,
115,WTL251 &253,,5558C,39,1,F,"Stimulation in dHPC, FP in Nac",6/15/20,"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac",Recorded SS + FP,,,,10/16/20,10/27/20,Y,Y
116,,,,,2,F,,,,FDIC after self stim due to stress,,,,8/14/20,10/27/20,Y,Y
117,,,,,3,F,,,,"Overly anxious, Sac",,,-,7/30/20,-,-,-
118,,,,,4,F,,,,Recorded SS + FP,,,,10/16/20,,Y,Y
119,,,,,5,F,,,,FDIC,,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
120,WTL253 & 254,,5558C,40,1,M,"Stimulation in dHPC, FP in Nac",6/15/20,"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac",,,,,,,Y,Y
121,,,,,2,M,,,,FDIC,,,,-,-,-,-
122,,,,,3,M,,,,,,,,,,Y,Y
123,,,,,4,M,,,,Recorded SS + FP,,,,10/16/20,,Y,Y
124,,,,,5,M,,,,,,,,,,Y,Y
,,,,,,,,,,,,,,,,,
125,"WTL255,256,257 & 258",,5558C,NIL,21,M,Lei-Dab7 CPP,7/6/20,Cannula Implants,,,,,7/24/20,7/27/20,Y,Y
126,,,,,22,M,,,,,,,,,,Y,Y
127,,,,,23,M,,,,,,,,,,Y,Y
128,,,,,24,M,,,,,,,,,,Y,Y
129,,,,,25,M,,,,,,,,,,Y,Y
130,,,,,26,M,,,,,,,,,,Y,Y
131,,,,,27,M,,,,,,,,,,Y,Y
132,,,,,28,M,,,,,,,,,,Y,Y
133,,,,,29,M,,,,FDIC,,,,-,-,-,-
134,,,,,30,M,,,,,,,,7/24/20,7/27/20,Y,Y
135,,,,,31,M,,,,,,,,,,Y,Y
136,,,,,32,M,,,,,,,,,,Y,Y
137,,,,,33,M,,,,FDIC,,,,-,-,-,-
138,,,,,34,M,,,,,,,,7/24/20,7/27/20,Y,Y
139,,,,,35,M,,,,FDIC,,,,-,-,-,-
140,,,,,36,M,,,,,,,,7/24/20,7/27/20,Y,Y
,,,,,,,,,,,,,,,,,
141,JAX,,5558C,NIL,37,M,Lei-Dab7 CPP,,Cannula Implants,,,,,8/20/20,9/4/20,Y,Y
142,,,,,38,M,,,,,,,,,,Y,Y
143,,,,,39,M,,,,,,,,,,Y,Y
144,,,,,40,M,,,,,,,,,,Y,Y
145,,,,,41,M,,,,,,,,,,Y,Y
146,,,,,42,M,,,,,,,,,,Y,Y
147,,,,,43,M,,,,,,,,,,Y,Y
148,,,,,45,M,,,,,,,,,,Y,Y
149,,,,,46,M,,,,,,,,,,Y,Y
150,,,,,47,M,,,,FDIC,,,-,-,-,-,-
151,,,,,48,M,,,,,,,,8/20/20,9/7/20,Y,Y
152,,,,,48,M,,,,,,,,,,Y,Y
153,,,,,49,M,,,,,,,,,,Y,Y
154,,,,,50,M,,,,,,,,,,Y,Y
155,,,,,51,M,,,,,,,,,,Y,Y
156,,,,,52,M,,,,FDIC,,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
157,JAX,,5558C,NIL,53,M,Lei-Dab7 CPP,9/1/20,Cannula Implants,FDIC,,,-,-,-,-,-
158,,,,,54,M,,,,,,,,9/18/20,,Y,Y
159,,,,,55,M,,,,,,,,,,Y,Y
160,,,,,56,M,,,,FDIC,,,-,-,-,-,-
161,,,,,57,M,,,,FDIC,,,-,-,-,-,-
162,,,,,58,M,,,,FDIC,,,-,-,-,-,-
163,,,,,59,M,,,,,,,,9/18/20,,Y,Y
164,,,,,60,M,,,,FDIC,,,-,-,-,-,-
165,,,,,61,M,,,,,,,,9/18/20,,Y,Y
166,,,,,62,M,,,,,,,,,,Y,Y
167,,,,,63,M,,,,,,,,,,Y,Y
168,,,,,64,M,,,,,,,,,,Y,Y
169,,,,,65,M,,,,FDIC,,,-,-,-,-,-
170,,,,,66,M,,,,FDIC,,,-,-,-,-,-
171,,,,,67,M,,,,,,,,9/18/20,,Y,Y
172,,,,,68,M,,,,,,,,,,Y,Y
,,,,,,,,,,,,,,,,,
173,JAX,,5558C,41,1,M,"Stimulation in dHPC, FP in Nac",8/31/20,"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac",FDIC,,,-,-,-,-,-
174,,,,,2,M,,,,,,,,12/4/20,12/21/20,Y,
175,,,,,3,M,,,,FDIC,,,-,-,-,-,-
176,,,,,4,M,,,,FDIC,,,-,-,-,-,-
177,,,,,5,M,,,,FDIC,,,-,-,-,-,-
178,WTL273,,,,6,M,,,,FDIC,,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
179,JAX,,5558C,42,1,M,"Stimulation in dHPC, FP in Nac (CONTROL)",8/31/20,"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-eGFP in Nac",FDIC,,,-,-,-,-,-
180,,,,,2,M,,,,,,,,12/4/20,12/21/20,Y,
181,,,,,3,M,,,,FDIC,,,-,-,-,-,-
182,,,,,4,M,,,,FDIC,,,-,-,-,-,-
183,,,,,5,M,,,,FDIC,,,-,-,-,-,-
184,WTL262,,,,6,M,,,,FDIC,,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
185,JAX,,5558C,NIL,69,M,Lei-Dab7 CPP,9/1/20,Cannula Implants,FDIC,,,-,-,-,-,-
186,,,,,70,M,,,,FDIC,,,-,-,-,-,-
187,,,,,71,M,,,,FDIC,,,-,-,-,-,-
188,,,,,72,M,,,,FDIC,,,-,-,-,-,-
189,,,,,73,M,,,,,,,,10/16/20,10/19/20,Y,Y
190,,,,,74,M,,,,,,,,10/16/20,10/19/20,Y,Y
191,,,,,75,M,,,,FDIC,,,-,-,-,-,-
192,,,,,76,M,,,,FDIC,,,-,-,-,-,-
193,,,,,77,M,,,,FDIC,,,-,-,-,-,-
194,,,,,78,M,,,,,,,,10/16/20,10/19/20,Y,Y
195,,,,,79,M,,,,,,,,10/16/20,10/19/20,,
196,,,,,80,M,,,,FDIC,,,-,-,-,-,-
197,,,,,81,M,,,,FDIC,,,-,-,-,-,-
198,,,,,82,M,,,,,,,,10/16/20,10/19/20,Y,Y
199,,,,,83,M,,,,,,,,10/16/20,10/19/20,Y,Y
200,,,,,84,M,,,,,,,,10/16/20,10/19/20,Y,Y
,,,,,,,,,,,,,,,,,
201,WTL289,,5558C,43,1,M,"Stimulation in dHPC, FP in Nac (CONTROL)",10/5/20,"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-eGFP in Nac",,,,,12/10/20,12/14/20,Y,Y
202,,,,,2,M,,,,,,,,12/10/20,12/14/20,Y,Y
203,,,,,3,M,,,,,,,,12/10/20,12/14/20,Y,Y
204,,,,,4,M,,,,,,,,12/10/20,12/14/20,Y,Y
205,WTL288,,,,5,M,,,,,,,,12/10/20,12/14/20,Y,Y
,,,,,,,,,,,,,,,,,
206,WTL290,,5558C,44,1,M,"Stimulation in dHPC, FP in Nac",10/5/20,"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac",,,,,12/10/20,12/15/20,Y,Y
207,,,,,2,M,,,,,,,,12/10/20,12/15/20,Y,Y
208,WTL291,,,,3,M,,,,,,,,12/10/20,12/15/20,Y,Y
209,,,,,4,M,,,,,,,,12/10/20,12/15/20,Y,Y
210,,,,,5,M,,,,,,,,12/10/20,12/15/20,Y,Y
,,,,,,,,,,,,,,,,,
210,JAX,,5558C,NIL,85,,Lei-Dab7 CPP,,Cannula Implants,,,,,10/29/20,11/3/20,Y,Y
211,,,,,86,,,,,FDIC,,,-,-,-,-,-
212,,,,,87,,,,,FDIC,,,-,-,-,-,-
213,,,,,88,,,,,FDIC,,,-,-,-,-,-
214,,,,,89,,,,,,,,,10/29/20,11/3/20,Y,Y
215,,,,,90,,,,,,,,,,,Y,Y
216,,,,,91,,,,,,,,,,,Y,Y
217,,,,,92,,,,,FDIC,,,-,-,-,-,-
218,,,,,93,,,,,,,,,10/29/20,11/3/20,Y,Y
219,,,,,94,,,,,,,,,,,Y,Y
220,,,,,95,,,,,,,,,,,Y,Y
221,,,,,96,,,,,,,,,,,Y,Y
222,,,,,97,,,,,,,,,,,Y,Y
223,,,,,98,,,,,FDIC,,,-,-,-,-,-
224,,,,,99,,,,,FDIC,,,-,-,-,-,-
225,,,,,100,,,,,FDIC,,,-,-,-,-,-
226,,,,,101,,,,,,,,,10/29/20,11/3/20,Y,Y
227,,,,,102,,,,,,,,,,,Y,Y
228,,,,,103,,,,,,,,,,,Y,Y
229,,,,,104,,,,,,,,,,,Y,Y
,,,,,,,,,,,,,,,,,
230,WTL296,,5558C,45,1,M,"Stimulation in dHPC, FP in Nac",10/27/20,"AAV-CAMKII-eYPF in dHPC (CONTROL), AAV9-hSYN-Gcamp-GFP in Nac",,,,,12/10/20,12/15/20,Y,Y
231,,,,,2,M,,,,Overly Anxious,,,-,12/4/20,12/21/20,Y,-
232,,,,,3,M,,,,,,,,12/10/20,12/15/20,Y,Y
233,WTL297,,,,4,M,,,,,,,,12/10/20,12/15/20,Y,Y
234,,,,,5,M,,,,,,,,12/10/20,12/15/20,Y,Y
235,,,,,6,M,,,,,,,,12/10/20,12/15/20,Y,Y
,,,,,,,,,,,,,,,,,
236,WTL295,,5558C,46,1,M,"Stimulation in dHPC, FP in Nac",10/27/20,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac",Headcap came out,,,,12/2/20,12/21/20,-,Y
237,,,,,2,M,,,,,,,,1/11/21,1/15/21,1/20/21,Y
238,,,,,3,M,,,,,,,,1/11/21,1/15/21,1/20/21,Y
239,,,,,4,M,,,,,,,,1/11/21,1/15/21,1/20/21,Y
,,,,,,,,,,,,,,,,,
240,WTL294,,5558C,47,1,M,Cannula/Elec combo for SK2,10/28/20,Cannula/Elec combo in dHPC,FDIC,,,,-,-,-,-
241,,,,,2,M,,,,Anxious,,,,2/16/21,2/23/21,2/26/21,Y
,,,,,,,,,,,,,,,,,
242,WTL299,,5558C,,105,M,Lei-Dab7 CPP,11/12/20,Cannula Implants,,,,,12/4/20,12/8/21,12/9/21,Y
243,WTL299,,,,106,M,,,,FDIC,,,-,-,-,-,-
244,WTL300,,,,107,M,,,,FDIC,,,-,-,-,-,-
245,WTL292,,,,108,M,,,,Sac for excessive grooming,,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
246,WTL303,,5558C,,109,M,Lei-Dab7 CPP,11/18/20,Cannula Implants,,,,,12/4/20,12/8/21,12/9/21,Y
247,,,,,110,M,,,,FDIC,,,-,-,-,-,-
248,,,,,111,M,,,,,,,,12/4/20,12/8/21,12/9/21,Y
249,WTL306,,,,112,M,,,,,,,,12/4/20,12/8/21,12/9/21,Y
,,,,,,,,,,,,,,,,,
250,WTL313,10/19/20,5558C,48,1,M,Cannula/Elec combo for SK2,12/22/20,Cannula/Elec combo in dHPC,,,,,2/16/21,2/23/21,2/25/21,Y
251,,,,,2,M,,,,,,,,2/16/21,2/23/21,2/25/21,Y
252,,,,,3,M,,,,,,,,2/16/21,2/23/21,2/25/21,Y
253,WTL314,23/20/2020,,,4,M,,,,Headcap came out,,,,1/11/21,2/24/21,2/26/21,Y
254,,,,,5,M,,,,,,,,2/16/21,2/24/21,2/26/21,Y
255,,,,,6,M,,,,Headcap came out,,,,1/11/21,2/24/21,2/26/21,Y
,,,,,,,,,,,,,,,,,
256,WTL309,10/10/20,5558C,49,1,M,"Stimulation in SuM, FP in NAc",1/5/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc",,,,,,3/2/21,3/4/21,Y
257,,,,,2,M,,,,,,,,,3/2/21,3/4/21,Y
258,,,,,3,M,,,,Control in dHPC,,,,,3/3/21,3/4/21,Y
259,,,,,4,M,,,,Control in dHPC,,,,,3/3/21,3/4/21,Y
260,,,,,5,M,,,,,,,,,3/3/21,3/4/21,Y
,,,,,,,,,,,,,,,,,
261,WTL310,10/1/20,5558C,50,1,M,"Stimulation in SuM, FP in NAc",1/5/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc",,,,,,3/3/21,3/4/21,Y
262,,,,,2,M,,,,Control in dHPC (FDIC),,,-,-,-,-,-
263,,,,,3,M,,,,Control in dHPC,,,,,3/3/21,3/4/21,Y
264,,,,,4,M,,,,,,,,,3/3/21,3/4/21,Y
,,,,,,,,,,,,,,,,,
265,WTL311,10/10/20,5558C,51,1,M,"Stimulation in SuM, FP in NAc",1/5/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc",,,,,,3/3/21,3/4/21,Y
266,,,,,2,M,,,,,,,,,3/3/21,3/4/21,Y
267,,,,,3,M,,,,Control in dHPC,,,,,3/3/21,3/8/21,Y
268,,,,,4,M,,,,Control in dHPC (FDIC),,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
269,WTL312,10/14/20,5558C,52,1,M,"Stimulation in SuM, FP in NAc",1/5/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc",,,,,,3/3/21,4/27/21,Y
270,,,,,2,M,,,,Control in dHPC,,,,,3/3/21,4/27/21,Y
271,,,,,3,M,,,,Control in dHPC,,,,,3/3/21,4/27/21,Y
272,WTL315,10/21/20,,53,1,M,,,,,,,,,3/3/21,4/27/21,Y
272,,,,,2,M,,,,Control DIED,,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
273,WTL322,11/13/20,5558C,54,1,M,Cannula/Elec combo for SK2,1/21/21,Cannula/Elec combo in dHPC,,,,,2/16/21,2/24/21,3/1/21,Y
274,,,,,2,M,,,,,,,,2/16/21,2/24/21,3/1/21,Y
275,,,,,3,M,,,,,,,,2/16/21,2/24/21,3/1/21,Y
276,,,,,4,M,,,,,,,,2/16/21,2/24/21,2/25/21,Y
277,,,,,5,M,,,,1/24/21,,,-,-,-,-,-
278,,,,,6,M,,,,1/24/21,,,-,-,-,-,-
279,,,,,7,M,,,,,,,,2/16/21,2/24/21,2/26/21,Y
,,,,,,,,,,,,,,,,,
280,WTL331,12/10/20,5558C,55,1,M,"Stimulation in dHPC, FP in Nac",1/9/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac",,,,Saline,5/21/21,,,
281,,,,,2,M,,,,FDIC,,,-,-,-,-,-
282,,,,,3,M,,,,FDIC,,,-,-,-,-,-
283,,,,,4,M,,,,,,,CFA,5/21/21,,,
,,,,,,,,,,,,,,,,,
284,WTL331,12/10/20,5558C,56,1,M,"Stimulation in dHPC, FP in Nac",1/9/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac",,,,Saline,5/21/21,,,
285,,,,,2,M,,,,FDIC,,,-,-,-,-,-
286,,,,,3,M,,,,,,,CFA,5/21/21,,,
287,WTL328,11/28/20,,,4,M,,,,FDIC,,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
288,WTL332,12/10/20,5558C,57,1,M,"Stimulation in dHPC, FP in Nac",1/9/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac",FDIC,,,-,-,-,-,-
289,,,,,2,M,,,,,,,Saline,5/21/21,,,
290,,,,,3,M,,,,FDIC,,,-,-,-,-,-
291,,,,,4,M,,,,,,,CFA,5/21/21,,,
,,,,,,,,,,,,,,,,,
292,WTL324,11/16/20,5558C,58,1,M,Cannula/ Electro combo + CPP,2/16/21,Cannula / Electrode combo in dHPC,,,,,4/7/21,4/19/21,4/19/21,Y
293,,,,,2,M,,,,,,,,4/7/21,4/19/21,4/19/21,Y
294,,,,,3,M,,,,,,,,4/7/21,4/19/21,4/19/21,Y
295,,,,,4,M,,,,,,,,4/7/21,4/19/21,4/21/21,Y
296,,,,,5,M,,,,,,,,4/7/21,4/19/21,4/21/21,Y
,,,,,,,,,,,,,,,,,
297,WTL327,11/23/20,5558C,59,1,M,Viral tracing from MS to dHPC,2/25/21,CAMKII-eYPF in MS,,,,,4/7/21,4/21/21,4/23/21,Y
298,,,,,2,M,,,,,,,,4/7/21,4/21/21,4/23/21,Y
299,,,,,3,M,,,,,,,,4/7/21,4/21/21,4/23/21,Y
300,,,,,4,M,,,,,,,,4/7/21,4/21/21,4/23/21,Y
301,,,,,5,M,,,,FDIC,,,,4/7/21,-,-,-
,,,,,,,,,,,,,,,,,
302,WTL337,12/16/20,5558C,60,1,M,Viral tracing from dHPC for Hannah's IHC,3/1/21,CAMKII-eYPF in MS,,,,,4/7/21,4/14/21,Brain passed to Hannah after slicing.,-
303,,,,,2,M,,,,,,,,4/7/21,4/14/21,,-
304,,,,,3,M,,,,,,,,4/7/21,4/14/21,,-
305,WTL338,,,,4,M,,,,,,,,4/7/21,4/15/21,,-
306,,,,,5,M,,,,,,,,4/7/21,4/15/21,,-
,,,,,,,,,,,,,,,,,
